Datum/Uhrzeit;Benutzer;Transponder-Nummer;Ort des Ereignisses;Ereignis;Details;;;;;;
06.03.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.03.2025 17:02;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.03.2025 17:02;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.03.2025 07:39;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.03.2025 07:32;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.03.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
06.03.2025 06:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
06.03.2025 06:27;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
05.03.2025 18:02;Unknown;;Personal Tür;Security System;Scharf;;;;;;
05.03.2025 18:01;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
05.03.2025 17:07;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.03.2025 17:05;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.03.2025 17:01;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.03.2025 07:23;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.03.2025 07:09;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.03.2025 07:00;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
05.03.2025 06:02;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
05.03.2025 06:02;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
04.03.2025 17:53;Unknown;;Personal Tür;Security System;Scharf;;;;;;
04.03.2025 17:52;4, Person;3333333;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 17:04;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 17:04;3, Person;4444444;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 09:41;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 07:31;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
04.03.2025 07:17;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 07:00;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
04.03.2025 06:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
04.03.2025 06:29;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
